ClaveMateria,Clave Materi(NOUSAR),Materia,Grupo,TipoGrupo,Docente,SalOn,Horario,Cupo
CBE100296,CBE-1002-96,CALCULO I,AN,Teoria,ARVIZU SOTO MARIA FERNANDA,103,"Viernes 9:00-11:00, Sábado 9:00-11:00",30
CBE100296,CBE-1002-96,CALCULO I,AO,Teoria,CHAVEZ ESCUDERO MYRIAM,103-F-302,"Martes 11:00-13:00, Jueves 11:00-13:00",30
CBE100296,CBE-1002-96,CALCULO I,AP,Teoria,LOPEZ MAGALLANES ENRIQUE ALBERTO,103-F-202,"Martes 11:00-13:00, Jueves 11:00-13:00",35
CBE100296,CBE-1002-96,CALCULO I,AQ,Teoria,CHAVEZ ESCUDERO MYRIAM,103-F-202,"Martes 13:00-15:00, Jueves 13:00-15:00",35
CBE100296,CBE-1002-96,CALCULO I,AR,Teoria,CASTRO RODRIGUEZ MARIA GUADALUPE,103-C1,"Lunes 7:00-9:00, Miércoles 7:00-9:00",35
CBE100296,CBE-1002-96,CALCULO I,AS,Teoria,CASTRO RODRIGUEZ MARIA GUADALUPE,103-C1,"Martes 7:00-9:00, Jueves 7:00-9:00",35
CBE100296,CBE-1002-96,CALCULO I,AT,Teoria,CASTRO MORALES HECTOR ABRAHAM,103-F-302,"Lunes 7:00-9:00, Miércoles 7:00-9:00",30
CBE100296,CBE-1002-96,CALCULO I,AU,Teoria,HERNANDEZ GONZALEZ MARYEL EUNICE,103-F-302,"Lunes 9:00-11:00, Miércoles 9:00-11:00",30
CBE100296,CBE-1002-96,CALCULO I,AV,Teoria,DEVORA DELGADO ANA LILIA,103-C1,"Lunes 9:00-11:00, Miércoles 9:00-11:00",35
CBE100296,CBE-1002-96,CALCULO I,AW,Teoria,DEVORA DELGADO ANA LILIA,103-C1,"Lunes 11:00-13:00, Miércoles 11:00-13:00",35
CBE100296,CBE-1002-96,CALCULO I,AX,Teoria,DEVORA DELGADO ANA LILIA,103-F-302,"Martes 9:00-11:00, Jueves 9:00-11:00",35
CBE100296,CBE-1002-96,CALCULO I,AY,Teoria,GODOY MENDOZA JOAQUIN,103-C1,"Lunes 18:00-20:00, Miércoles 18:00-20:00",35
CBE100296,CBE-1002-96,CALCULO I,AZ,Teoria,GRIJALVA RUIZ JUAN CARLOS,103-C-208,"Lunes 18:00-20:00, Miércoles 18:00-20:00",35
CBE100296,CBE-1002-96,CALCULO I,P,Teoria,GRIJALVA RUIZ JUAN CARLOS,103-E-110,"Martes 18:00-20:00, Jueves 18:00-20:00",35
CBE100296,CBE-1002-96,CALCULO I,Q,Teoria,MUÑIZ VALLES ILEANA,103-C-208,"Martes 9:00-11:00, Jueves 9:00-11:00",35
CBE100296,CBE-1002-96,CALCULO I,R,Teoria,LOPEZ MAGALLANES ENRIQUE ALBERTO,103-C-208,"Martes 16:00-18:00, Jueves 16:00-18:00",35
CBE100296,CBE-1002-96,CALCULO I,S,Teoria,LOPEZ MAGALLANES ENRIQUE ALBERTO,103-F-302,"Martes 13:00-15:00, Jueves 13:00-15:00",35
CBE100296,CBE-1002-96,CALCULO I,T,Teoria,LOPEZ RIVAS JOSE CARLOS,103-C-208,"Martes 20:00-22:00, Jueves 20:00-22:00",35
CBE100296,CBE-1002-96,CALCULO I,U,Teoria,BARRANDEY ADRIAN DAVID,103-F-302,"Martes 7:00-9:00, Jueves 7:00-9:00",30
CBE100296,CBE-1002-96,CALCULO I,V,Teoria,MUÑIZ VALLES ILEANA,103-C-208,"Martes 7:00-9:00, Jueves 7:00-9:00",35
CBE100296,CBE-1002-96,CALCULO I,W,Teoria,POLANCO GONZALEZ JAVIER,103-C-211,"Martes 16:00-18:00, Jueves 16:00-18:00",35
CBE100296,CBE-1002-96,CALCULO I,X,Teoria,RAMIREZ SANDOVAL OSIEL,103-F-302,"Lunes 13:00-15:00, Miércoles 13:00-15:00",30
CBE100296,CBE-1002-96,CALCULO I,Y,Teoria,MORA DE LA CRUZ DANIEL,103-C1,"Martes 20:00-22:00, Jueves 20:00-22:00",35
CBE100296,CBE-1002-96,CALCULO I,Z,Teoria,RAMIREZ SANTOS LAURA ELIZABETH,103-C-208,"Lunes 16:00-18:00, Miércoles 16:00-18:00",35
CBE100396,CBE-1003-96,CALCULO II,G,Teoria,MORA DE LA CRUZ DANIEL,103-E-110,"Lunes 20:00-22:00, Miércoles 20:00-22:00",35
CBE100396,CBE-1003-96,CALCULO II,H,Teoria,CHAVEZ VILLA SILVIA,103,"Martes 18:00-20:00, Jueves 18:00-20:00",30
CBE100396,CBE-1003-96,CALCULO II,I,Teoria,HERNANDEZ MINJARES CINTHYA MELISSA,103-E-110,"Martes 13:00-15:00, Jueves 13:00-15:00",35
CBE100396,CBE-1003-96,CALCULO II,J,Teoria,DELGADO MEDINA ALFONSO,103-C-208,"Lunes 20:00-22:00, Miércoles 20:00-22:00",35
CBE100396,CBE-1003-96,CALCULO II,K,Teoria,GODOY MENDOZA JOAQUIN,103-C-211,"Lunes 16:00-18:00, Miércoles 16:00-18:00",35
CBE100396,CBE-1003-96,CALCULO II,L,Teoria,GARDEA MEDRANO DAVID FRANCISCO,103,"Martes 20:00-22:00, Jueves 20:00-22:00",30
CBE100396,CBE-1003-96,CALCULO II,M,Teoria,VALDEZ SAENZ LORENZA CARMEN,103-C-208,"Lunes 7:00-9:00, Miércoles 7:00-9:00",35
CBE100396,CBE-1003-96,CALCULO II,N,Teoria,CHAVIRA HEIDY CECILIA,103-C-208,"Lunes 9:00-11:00, Miércoles 9:00-11:00",35
CBE100396,CBE-1003-96,CALCULO II,O,Teoria,LLANAS RODRIGUEZ PAVEL GERARDO,103-E-110,"Martes 9:00-11:00, Jueves 9:00-11:00",35
CBE100396,CBE-1003-96,CALCULO II,P,Teoria,ROYVAL BUSTILLOS LIDIA JULIETA,103-E-110,"Martes 11:00-13:00, Jueves 11:00-13:00",35
CBE100396,CBE-1003-96,CALCULO II,Q,Teoria,LOPEZ RUVALCABA CARLOS,103-E-110,"Lunes 9:00-11:00, Miércoles 9:00-11:00",35
CBE100396,CBE-1003-96,CALCULO II,R,Teoria,... ... ...,103-E-110,"Lunes 7:00-9:00, Miércoles 7:00-9:00",35
CBE100396,CBE-1003-96,CALCULO II,S,Teoria,RAMIREZ SANTOS LAURA ELIZABETH,103,"Martes 18:00-20:00, Jueves 18:00-20:00",35
CBE100396,CBE-1003-96,CALCULO II,T,Teoria,RAMIREZ SANTOS LAURA ELIZABETH,103-C-211,"Lunes 18:00-20:00, Miércoles 18:00-20:00",35
CBE100396,CBE-1003-96,CALCULO II,U,Teoria,ROYVAL BUSTILLOS LIDIA JULIETA,103-C-211,"Lunes 11:00-13:00, Miércoles 11:00-13:00",35
CBE100396,CBE-1003-96,CALCULO II,V,Teoria,VAZQUEZ GONZALEZ MARIO IVAN,103,"Viernes 7:00-9:00, Sábado 7:00-9:00",30
CBE100396,CBE-1003-96,CALCULO II,W,Teoria,BARRANDEY ADRIAN DAVID,103,"Viernes 9:00-11:00, Sábado 9:00-11:00",30
CBE100496,CBE-1004-96,CALCULO III,E,Teoria,... ... ...,103-G-302,"Martes 13:00-15:00, Jueves 13:00-15:00, Viernes 14:00-15:00",28
CBE100496,CBE-1004-96,CALCULO III,F,Teoria,AVILA SANDOVAL MARIO SILVINO,103-G-202,"Lunes 13:00-15:00, Miércoles 13:00-15:00, Viernes 13:00-14:00",28
CBE100496,CBE-1004-96,CALCULO III,G,Teoria,ESPINOSA ALMEYDA YOANH,103,"Lunes 11:00-13:00, Miércoles 11:00-13:00, Viernes 12:00-13:00",30
CBE100496,CBE-1004-96,CALCULO III,H,Teoria,ESPINOSA ALMEYDA YOANH,103-C-211,"Lunes 13:00-15:00, Miércoles 13:00-15:00, Viernes 13:00-14:00",35
CBE100496,CBE-1004-96,CALCULO III,I,Teoria,GARDEA MEDRANO DAVID FRANCISCO,103,"Lunes 18:00-20:00, Miércoles 18:00-20:00, Viernes 18:00-19:00",30
CBE100496,CBE-1004-96,CALCULO III,J,Teoria,GODOY MENDOZA JOAQUIN,103-G-302,"Lunes 20:00-22:00, Miércoles 20:00-22:00, Viernes 20:00-21:00",28
CBE100496,CBE-1004-96,CALCULO III,K,Teoria,RAMIREZ SANDOVAL OSIEL,103-H-202,"Lunes 7:00-9:00, Miércoles 7:00-9:00, Viernes 7:00-8:00",35
CBE100496,CBE-1004-96,CALCULO III,L,Teoria,HASSE ARMENGOL ISAAC,103-H-202,"Lunes 9:00-11:00, Miércoles 9:00-11:00, Viernes 9:00-10:00",35
CBE100496,CBE-1004-96,CALCULO III,M,Teoria,RODRIGUEZ MARRUFO LUIS,103-G-302,"Lunes 16:00-18:00, Miércoles 16:00-18:00, Viernes 17:00-18:00",28
CBE100496,CBE-1004-96,CALCULO III,N,Teoria,RODRIGUEZ RAMIREZ MIGUEL GONZALO,103-G-302,"Martes 16:00-18:00, Jueves 16:00-18:00, Viernes 16:00-17:00",28
CBE100496,CBE-1004-96,CALCULO III,O,Teoria,LOPEZ RUVALCABA CARLOS,103-H-202,"Martes 7:00-9:00, Jueves 7:00-9:00, Viernes 8:00-9:00",35
CBE100496,CBE-1004-96,CALCULO III,P,Teoria,LOPEZ RUVALCABA CARLOS,103-H-103,"Martes 9:00-11:00, Jueves 9:00-11:00, Viernes 10:00-11:00",35
CBE100496,CBE-1004-96,CALCULO III,Q,Teoria,GALLARDO AGUILAR ROCIO ELENA,103-G-302,"Martes 18:00-20:00, Jueves 18:00-20:00, Viernes 19:00-20:00",28
CBE100496,CBE-1004-96,CALCULO III,R,Teoria,GOMEZ GARCIA MARIA MAGDALENA,103-G-302,"Martes 20:00-22:00, Jueves 20:00-22:00, Viernes 21:00-22:00",28
CBE100496,CBE-1004-96,CALCULO III,S,Teoria,JIMENEZ NAVA VICTOR HUGO,103-G-202,"Lunes 20:00-22:00, Miércoles 20:00-22:00, Viernes 20:00-21:00",28
CBE100496,CBE-1004-96,CALCULO III,T,Teoria,TORRES SAENZ IVONNE,103-G-302,"Martes 11:00-13:00, Jueves 11:00-13:00, Viernes 11:00-12:00",28
CBE100696,CBE-1006-96,PROBABILIDAD Y ESTADISTICA,A,Teoria,DIAZ REZA JOSE ROBERTO,103-G-202,"Lunes 7:00-9:00, Miércoles 7:00-9:00",25
CBE100696,CBE-1006-96,PROBABILIDAD Y ESTADISTICA,B,Teoria,DIAZ REZA JOSE ROBERTO,103-G-202,"Martes 7:00-9:00, Jueves 7:00-9:00",25
CBE100696,CBE-1006-96,PROBABILIDAD Y ESTADISTICA,C,Teoria,HERNANDEZ GONZALEZ MARYEL EUNICE,103-G-303,"Martes 11:00-13:00, Jueves 11:00-13:00",35
CBE100696,CBE-1006-96,PROBABILIDAD Y ESTADISTICA,D,Teoria,SOSA RINCON DIANA ELENA,103-G-202,"Lunes 18:00-20:00, Miércoles 18:00-20:00",25
CBE100696,CBE-1006-96,PROBABILIDAD Y ESTADISTICA,E,Teoria,MORA DE LA CRUZ DANIEL,103-G-202,"Martes 18:00-20:00, Jueves 18:00-20:00",25
CBE100696,CBE-1006-96,PROBABILIDAD Y ESTADISTICA,F,Teoria,CASTRO MORALES HECTOR ABRAHAM,103-G-202,"Martes 16:00-18:00, Jueves 16:00-18:00",25
CBE100696,CBE-1006-96,PROBABILIDAD Y ESTADISTICA,G,Teoria,LOPEZ MAGALLANES ENRIQUE ALBERTO,103-G-202,"Lunes 9:00-11:00, Miércoles 9:00-11:00",25
CBE100696,CBE-1006-96,PROBABILIDAD Y ESTADISTICA,H,Teoria,DEVORA DELGADO ANA LILIA,103-G-304,"Martes 11:00-13:00, Jueves 11:00-13:00",35
CBE100696,CBE-1006-96,PROBABILIDAD Y ESTADISTICA,I,Teoria,"GARCIA JAUREGUI MARISELA Do - NR,",25,,25
CBE100696,CBE-1006-96,PROBABILIDAD Y ESTADISTICA,J,Teoria,GARCIA JAUREGUI MARISELA,103-H-101,"Martes 9:00-11:00, Jueves 9:00-11:00",35
CBE100696,CBE-1006-96,PROBABILIDAD Y ESTADISTICA,K,Teoria,GRIJALVA RUIZ JUAN CARLOS,103-G-202,"Lunes 16:00-18:00, Miércoles 16:00-18:00",25
CBE100696,CBE-1006-96,PROBABILIDAD Y ESTADISTICA,L,Teoria,GRIJALVA RUIZ JUAN CARLOS,103-H-201-c,"Martes 20:00-22:00, Jueves 20:00-22:00",25
CBE100696,CBE-1006-96,PROBABILIDAD Y ESTADISTICA,M,Teoria,CASTRO MORALES HECTOR ABRAHAM,103-H-201-c,"Martes 13:00-15:00, Jueves 13:00-15:00",25
CBE100696,CBE-1006-96,PROBABILIDAD Y ESTADISTICA,N,Teoria,CASTRO MORALES HECTOR ABRAHAM,103-G-203,"Lunes 20:00-22:00, Miércoles 20:00-22:00",32
CBE100696,CBE-1006-96,PROBABILIDAD Y ESTADISTICA,O,Teoria,RASCON BELTRAN BLANCA ESTELA,103-G-202,"Lunes 11:00-13:00, Miércoles 11:00-13:00",25
CBE100696,CBE-1006-96,PROBABILIDAD Y ESTADISTICA,P,Teoria,RASCON BELTRAN BLANCA ESTELA,103-H-201-c,"Martes 7:00-9:00, Jueves 7:00-9:00",25
CBE100696,CBE-1006-96,PROBABILIDAD Y ESTADISTICA,Q,Teoria,ROYVAL BUSTILLOS LIDIA JULIETA,103-G-202,"Martes 13:00-15:00, Jueves 13:00-15:00",25
CBE100696,CBE-1006-96,PROBABILIDAD Y ESTADISTICA,S,Teoria,SOSA RINCON DIANA ELENA,103-G-204,"Martes 20:00-22:00, Jueves 20:00-22:00",35
CBE100696,CBE-1006-96,PROBABILIDAD Y ESTADISTICA,T,Teoria,RUIZ ORTEGA GABRIELA ALEJANDRA,103,"Viernes 9:00-11:00, Sábado 9:00-11:00",30
CBE100696,CBE-1006-96,PROBABILIDAD Y ESTADISTICA,U,Teoria,LOPEZ DINO JORGE LORENZO,103,"Viernes 13:00-15:00, Sábado 13:00-15:00",30
CBE100796,CBE-1007-96,ECUACIONES DIFERENCIALES I,F,Teoria,VALDEZ SAENZ LORENZA CARMEN,103-G-204,"Martes 7:00-9:00, Jueves 7:00-9:00",35
CBE100796,CBE-1007-96,ECUACIONES DIFERENCIALES I,G,Teoria,MORA DE LA CRUZ DANIEL,103-H-201-c,"Lunes 16:00-18:00, Miércoles 16:00-18:00",25
CBE100796,CBE-1007-96,ECUACIONES DIFERENCIALES I,H,Teoria,CALVO HERNANDEZ SALVADOR JESUS,103-G-204,"Lunes 20:00-22:00, Miércoles 20:00-22:00",35
CBE100796,CBE-1007-96,ECUACIONES DIFERENCIALES I,I,Teoria,GARDEA MEDRANO DAVID FRANCISCO,103-Y5-211,"Martes 18:00-20:00, Jueves 18:00-20:00",35
CBE100796,CBE-1007-96,ECUACIONES DIFERENCIALES I,J,Teoria,GASPAR DE ALBA DIEGUEZ ARCELIA GUILLERMINA FERNANDA,103-H-103,"Lunes 18:00-20:00, Miércoles 18:00-20:00",35
CBE100796,CBE-1007-96,ECUACIONES DIFERENCIALES I,K,Teoria,GASPAR DE ALBA DIEGUEZ ARCELIA GUILLERMINA FERNANDA,103-H-103,"Lunes 16:00-18:00, Miércoles 16:00-18:00",35
CBE100796,CBE-1007-96,ECUACIONES DIFERENCIALES I,L,Teoria,OLIVARES RODRIGUEZ RICARDO,103-G-204,"Lunes 13:00-15:00, Miércoles 13:00-15:00",35
CBE100796,CBE-1007-96,ECUACIONES DIFERENCIALES I,M,Teoria,OLIVARES RODRIGUEZ RICARDO,103-H-201-d,"Lunes 9:00-11:00, Miércoles 9:00-11:00",25
CBE100796,CBE-1007-96,ECUACIONES DIFERENCIALES I,N,Teoria,OLIVARES RODRIGUEZ RICARDO,103-D-111,"Lunes 7:00-9:00, Miércoles 7:00-9:00",35
CBE100796,CBE-1007-96,ECUACIONES DIFERENCIALES I,O,Teoria,OLIVARES RODRIGUEZ RICARDO,103,"Lunes 11:00-13:00, Miércoles 11:00-13:00",30
CBE100796,CBE-1007-96,ECUACIONES DIFERENCIALES I,P,Teoria,OLVERA LOPEZ SONIA AZENETH,103-H-201-d,"Martes 9:00-11:00, Jueves 9:00-11:00",25
CBE100796,CBE-1007-96,ECUACIONES DIFERENCIALES I,Q,Teoria,OLVERA LOPEZ SONIA AZENETH,103-G-203,"Martes 11:00-13:00, Jueves 11:00-13:00",30
CBE100796,CBE-1007-96,ECUACIONES DIFERENCIALES I,R,Teoria,OLVERA LOPEZ SONIA AZENETH,103-H-103,"Lunes 13:00-15:00, Miércoles 13:00-15:00",35
CBE100796,CBE-1007-96,ECUACIONES DIFERENCIALES I,S,Teoria,RODRIGUEZ MARRUFO LEONARDO,103-D1,"Martes 16:00-18:00, Jueves 16:00-18:00",35
CBE100796,CBE-1007-96,ECUACIONES DIFERENCIALES I,T,Teoria,GOMEZ GARCIA MARIA MAGDALENA,103-G-203,"Lunes 16:00-18:00, Miércoles 16:00-18:00",25
CBE100796,CBE-1007-96,ECUACIONES DIFERENCIALES I,U,Teoria,ZAMARRON CARRASCO REBECA,103-G-203,"Martes 7:00-9:00, Jueves 7:00-9:00",25
CBE100796,CBE-1007-96,ECUACIONES DIFERENCIALES I,V,Teoria,... ... ...,103,"Viernes 13:00-15:00, Sábado 13:00-15:00",30
CBE100796,CBE-1007-96,ECUACIONES DIFERENCIALES I,W,Teoria,LOPEZ DINO JORGE LORENZO,103,"Viernes 9:00-11:00, Sábado 9:00-11:00",30
CBE100896,CBE-1008-96,ANALISIS NUMERICO,F,Teoria,CHAVEZ ESCUDERO MYRIAM,103-C-211,"Martes 9:00-11:00, Jueves 9:00-11:00",35
CBE100896,CBE-1008-96,ANALISIS NUMERICO,G,Teoria,GASPAR DE ALBA DIEGUEZ ARCELIA GUILLERMINA FERNANDA,103-H-103,"Martes 18:00-20:00, Jueves 18:00-20:00",35
CBE100896,CBE-1008-96,ANALISIS NUMERICO,H,Teoria,GASPAR DE ALBA DIEGUEZ ARCELIA GUILLERMINA FERNANDA,103-H-103,"Martes 16:00-18:00, Jueves 16:00-18:00",35
CBE100896,CBE-1008-96,ANALISIS NUMERICO,I,Teoria,GOMEZ GARCIA MARIA MAGDALENA,103-G-204,"Martes 13:00-15:00, Jueves 13:00-15:00",35
CBE100896,CBE-1008-96,ANALISIS NUMERICO,J,Teoria,LOPEZ GALAN OSCAR ALBERTO,103-H-103,"Lunes 7:00-9:00, Miércoles 7:00-9:00",35
CBE100896,CBE-1008-96,ANALISIS NUMERICO,K,Teoria,LLANAS RODRIGUEZ PAVEL GERARDO,103-H-201-c,"Lunes 9:00-11:00, Miércoles 9:00-11:00",28
CBE100896,CBE-1008-96,ANALISIS NUMERICO,L,Teoria,GALLARDO AGUILAR ROCIO ELENA,103-H-201-b,"Lunes 20:00-22:00, Miércoles 20:00-22:00",28
CBE100896,CBE-1008-96,ANALISIS NUMERICO,M,Teoria,ESTRADA ROJAS PORFIRIO,103-H-201-b,"Martes 20:00-22:00, Jueves 20:00-22:00",28
CBE100896,CBE-1008-96,ANALISIS NUMERICO,N,Teoria,POLANCO GONZALEZ JAVIER,103-H-201-b,"Lunes 9:00-11:00, Miércoles 9:00-11:00",28
CBE100896,CBE-1008-96,ANALISIS NUMERICO,O,Teoria,POLANCO GONZALEZ JAVIER,103-H-201-b,"Lunes 11:00-13:00, Miércoles 11:00-13:00",28
CBE100896,CBE-1008-96,ANALISIS NUMERICO,P,Teoria,POLANCO GONZALEZ JAVIER,103-H-201-b,"Martes 11:00-13:00, Jueves 11:00-13:00",28
CBE100896,CBE-1008-96,ANALISIS NUMERICO,Q,Teoria,SANCHEZ SANTAMARIA BETANIA,103-H-202,"Lunes 11:00-13:00, Miércoles 11:00-13:00",28
CBE100896,CBE-1008-96,ANALISIS NUMERICO,R,Teoria,CALVO HERNANDEZ SALVADOR JESUS,103-H-201-b,"Lunes 18:00-20:00, Miércoles 18:00-20:00",28
CBE100896,CBE-1008-96,ANALISIS NUMERICO,S,Teoria,TORRES GARCIA MA DE LOS ANGELES Campus Virtual,28,,28
CBE100896,CBE-1008-96,ANALISIS NUMERICO,T,Teoria,LLANAS RODRIGUEZ PAVEL GERARDO,103-F-201,"Martes 11:00-13:00, Jueves 11:00-13:00",28
CBE100896,CBE-1008-96,ANALISIS NUMERICO,U,Teoria,... ... ...,103,"Viernes 7:00-9:00, Sábado 7:00-9:00",30
CBE100896,CBE-1008-96,ANALISIS NUMERICO,V,Teoria,... ... ...,103,"Viernes 11:00-13:00, Sábado 11:00-13:00",30
CBE100996,CBE-1009-96,MATEMATICAS DISCRETAS I,A,Teoria,VARGAS MONTOYA SERGIO MISAEL,103-B-204,"Lunes 9:00-11:00, Miércoles 9:00-11:00",24
CBE100996,CBE-1009-96,MATEMATICAS DISCRETAS I,B,Teoria,VARGAS MONTOYA SERGIO MISAEL,103-B-205,"Martes 15:00-17:00, Jueves 15:00-17:00",22
CBE111906,CBE-1119-06,FISICA CONCEPTUAL,A,Teoria,CASTREJON PARGA KAREN YAEL,103,"Martes 9:00-11:00, Jueves 9:00-11:00",25
CBE111906,CBE-1119-06,FISICA CONCEPTUAL,B,Teoria,CASTREJON PARGA KAREN YAEL,103,"Martes 11:00-13:00, Jueves 11:00-13:00",25
CBE111906,CBE-1119-06,FISICA CONCEPTUAL,C,Teoria,LARA PEREZ EUNICE SARAI,103-Y5-211,"Lunes 11:00-13:00, Miércoles 11:00-13:00",30
CBE111906,CBE-1119-06,FISICA CONCEPTUAL,D,Teoria,LARA PEREZ EUNICE SARAI,103-Y5-211,"Lunes 9:00-11:00, Miércoles 9:00-11:00",30
CBE112206,CBE-1122-06,FISICA GENERAL II,A,Teoria,CASTREJON PARGA KAREN YAEL,103,"Lunes 11:00-13:00, Miércoles 11:00-13:00",25
CBE112206,CBE-1122-06,FISICA GENERAL II,B,Teoria,MURILLO ALVA MIGUEL ANGEL,103-G-203,"Martes 16:00-18:00, Jueves 16:00-18:00",25
CBE112206,CBE-1122-06,FISICA GENERAL II,C,Teoria,SALGADO MACIAS EDGAR ANDRES,103-G-202,"Martes 11:00-13:00, Jueves 11:00-13:00",20
CBE112306,CBE-1123-06,FISICA GENERAL I,A,Teoria,SALGADO MACIAS EDGAR ANDRES,103,"Lunes 9:00-11:00, Miércoles 9:00-11:00",20
CBE120196,CBE-1201-96,FISICA I,AA,Teoria,MURILLO ALVA MIGUEL ANGEL,103-E-114,"Martes 18:00-20:00, Jueves 18:00-20:00",30
CBE120196,CBE-1201-96,FISICA I,AB,Teoria,OLMOS ZAMARRIPA EMMA EDITH,103-D-103,"Martes 16:00-18:00, Jueves 16:00-18:00",35
CBE120196,CBE-1201-96,FISICA I,AC,Teoria,OLMOS ZAMARRIPA EMMA EDITH,103-D-111,"Martes 18:00-20:00, Jueves 18:00-20:00",35
CBE120196,CBE-1201-96,FISICA I,AD,Teoria,PEREZ BLANCO RICARDO ENRIQUE,103-D-103,"Lunes 9:00-11:00, Miércoles 9:00-11:00",35
CBE120196,CBE-1201-96,FISICA I,AE,Teoria,PEREZ BLANCO RICARDO ENRIQUE,103-D-103,"Martes 11:00-13:00, Jueves 11:00-13:00",35
CBE120196,CBE-1201-96,FISICA I,AF,Teoria,PEREZ BLANCO RICARDO ENRIQUE,103-D-103,"Lunes 11:00-13:00, Miércoles 11:00-13:00",35
CBE120196,CBE-1201-96,FISICA I,AG,Teoria,RUIZ ORTEGA GABRIELA ALEJANDRA,103-E-114,"Martes 7:00-9:00, Jueves 7:00-9:00",32
CBE120196,CBE-1201-96,FISICA I,AH,Teoria,RODRIGUEZ EBRARD RENE,103-E-114,"Martes 13:00-15:00, Jueves 13:00-15:00",32
CBE120196,CBE-1201-96,FISICA I,AI,Teoria,RODRIGUEZ EBRARD RENE,103-E-114,"Martes 16:00-18:00, Jueves 16:00-18:00",32
CBE120196,CBE-1201-96,FISICA I,AJ,Teoria,RODRIGUEZ EBRARD RENE,103-H-101,"Lunes 13:00-15:00, Miércoles 13:00-15:00",35
CBE120196,CBE-1201-96,FISICA I,AK,Teoria,RODRIGUEZ EBRARD RENE,103-D-111,"Lunes 16:00-18:00, Miércoles 16:00-18:00",35
CBE120196,CBE-1201-96,FISICA I,AL,Teoria,ALMAZO PEREZ DIEGO MOISES,103-E-114,"Martes 20:00-22:00, Jueves 20:00-22:00",32
CBE120196,CBE-1201-96,FISICA I,AM,Teoria,LOPEZ RIVAS JOSE CARLOS,103-G-204,"Martes 18:00-20:00, Jueves 18:00-20:00",35
CBE120196,CBE-1201-96,FISICA I,AN,Teoria,RUIZ ORTEGA GABRIELA ALEJANDRA,103,"Viernes 7:00-9:00, Sábado 7:00-9:00",30
CBE120196,CBE-1201-96,FISICA I,AO,Teoria,VAZQUEZ GONZALEZ MARIO IVAN,103,"Viernes 13:00-15:00, Sábado 13:00-15:00",30
CBE120196,CBE-1201-96,FISICA I,AP,Teoria,CARRILLO FLORES DIANA MARIA,103-E-114,"Lunes 13:00-15:00, Miércoles 13:00-15:00",32
CBE120196,CBE-1201-96,FISICA I,AQ,Teoria,CARRILLO FLORES DIANA MARIA,103,"Martes 9:00-11:00, Jueves 9:00-11:00",34
CBE120196,CBE-1201-96,FISICA I,AR,Teoria,LOPEZ GALAN OSCAR ALBERTO,103-G-304,"Martes 13:00-15:00, Jueves 13:00-15:00",35
CBE120196,CBE-1201-96,FISICA I,AS,Teoria,LARA PEREZ EUNICE SARAI,103-F-301,"Martes 11:00-13:00, Jueves 11:00-13:00",25
